Loading target data...

=== V_NoSearch  flatten=['search']  n_draws=100  total_sims=300 ===
  [resume] reusing existing samples
  [resume] 300 seed-rows done
  V_NoHousing [ 23/100] mean=0.5946 std=0.0136  elapsed=41.5min
  V_NoHousing [ 24/100] mean=0.3399 std=0.0001  elapsed=41.9min
  V_NoHousing [ 25/100] mean=0.2450 std=0.0020  elapsed=42.4min
  V_NoHousing [ 26/100] mean=0.2656 std=0.0027  elapsed=42.8min
  V_NoHousing [ 27/100] mean=0.3191 std=0.0055  elapsed=43.3min
  V_NoHousing [ 28/100] mean=0.3257 std=0.0103  elapsed=43.7min
  V_NoHousing [ 29/100] mean=0.2940 std=0.0062  elapsed=44.1min
  V_NoHousing [ 30/100] mean=0.4921 std=0.0009  elapsed=44.6min
  V_NoHousing [ 31/100] mean=0.3589 std=0.0037  elapsed=45.0min
  V_NoHousing [ 32/100] mean=1.0374 std=0.0099  elapsed=45.5min
  V_NoHousing [ 33/100] mean=0.3616 std=0.0019  elapsed=45.9min
  V_NoHousing [ 34/100] mean=0.9398 std=0.0115  elapsed=46.4min
  V_NoHousing [ 35/100] mean=0.8346 std=0.0151  elapsed=46.8min
  V_NoHousing [ 36/100] mean=0.2795 std=0.0032  elapsed=47.3min
  V_NoHousing [ 37/100] mean=0.7108 std=0.0087  elapsed=47.7min
  V_NoHousing [ 38/100] mean=0.3211 std=0.0020  elapsed=48.2min
  V_NoHousing [ 39/100] mean=0.2818 std=0.0103  elapsed=48.6min
  V_NoHousing [ 40/100] mean=0.7719 std=0.0056  elapsed=49.0min
  V_NoHousing [ 41/100] mean=1.1903 std=0.0159  elapsed=49.5min
  V_NoHousing [ 42/100] mean=0.3264 std=0.0040  elapsed=49.9min
  V_NoHousing [ 43/100] mean=0.3057 std=0.0039  elapsed=50.4min
  V_NoHousing [ 44/100] mean=0.4072 std=0.0021  elapsed=50.8min
  V_NoHousing [ 45/100] mean=0.6384 std=0.0038  elapsed=51.3min
  V_NoHousing [ 46/100] mean=0.2244 std=0.0045  elapsed=51.7min
  V_NoHousing [ 47/100] mean=0.6921 std=0.0048  elapsed=52.1min
  V_NoHousing [ 48/100] mean=0.3710 std=0.0098  elapsed=52.6min
  V_NoHousing [ 49/100] mean=0.3470 std=0.0049  elapsed=53.0min
  V_NoHousing [ 50/100] mean=0.3755 std=0.0054  elapsed=53.5min
  V_NoHousing [ 51/100] mean=0.2939 std=0.0043  elapsed=53.9min
  V_NoHousing [ 52/100] mean=0.2715 std=0.0029  elapsed=54.4min
  V_NoHousing [ 53/100] mean=0.2741 std=0.0059  elapsed=54.8min
  V_NoHousing [ 54/100] mean=1.0903 std=0.0055  elapsed=55.3min
  V_NoHousing [ 55/100] mean=0.2965 std=0.0113  elapsed=55.7min
  V_NoHousing [ 56/100] mean=0.3578 std=0.0021  elapsed=56.1min
  V_NoHousing [ 57/100] mean=0.3719 std=0.0069  elapsed=56.6min
  V_NoHousing [ 58/100] mean=0.3529 std=0.0053  elapsed=57.0min
  V_NoHousing [ 59/100] mean=0.4844 std=0.0016  elapsed=57.5min
  V_NoHousing [ 60/100] mean=0.4638 std=0.0033  elapsed=57.9min
  V_NoHousing [ 61/100] mean=1.0326 std=0.0176  elapsed=58.4min
  V_NoHousing [ 62/100] mean=0.3170 std=0.0029  elapsed=58.8min
  V_NoHousing [ 63/100] mean=0.3849 std=0.0043  elapsed=59.2min
  V_NoHousing [ 64/100] mean=0.5255 std=0.0043  elapsed=59.7min
  V_NoHousing [ 65/100] mean=0.5509 std=0.0099  elapsed=60.1min
  V_NoHousing [ 66/100] mean=0.3161 std=0.0065  elapsed=60.6min
  V_NoHousing [ 67/100] mean=0.6991 std=0.0061  elapsed=61.0min
  V_NoHousing [ 68/100] mean=0.2938 std=0.0028  elapsed=61.5min
  V_NoHousing [ 69/100] mean=0.2967 std=0.0068  elapsed=61.9min
  V_NoHousing [ 70/100] mean=0.3556 std=0.0050  elapsed=62.4min
  V_NoHousing [ 71/100] mean=0.5482 std=0.0123  elapsed=62.8min
  V_NoHousing [ 72/100] mean=0.3886 std=0.0064  elapsed=63.2min
  V_NoHousing [ 73/100] mean=0.2987 std=0.0069  elapsed=63.7min
  V_NoHousing [ 74/100] mean=0.3468 std=0.0026  elapsed=64.1min
  V_NoHousing [ 75/100] mean=0.6280 std=0.0061  elapsed=64.6min
  V_NoHousing [ 76/100] mean=0.3776 std=0.0016  elapsed=65.0min
  V_NoHousing [ 77/100] mean=0.3231 std=0.0058  elapsed=65.5min
  V_NoHousing [ 78/100] mean=0.3327 std=0.0009  elapsed=65.9min
  V_NoHousing [ 79/100] mean=0.3702 std=0.0041  elapsed=66.4min
  V_NoHousing [ 80/100] mean=0.2031 std=0.0024  elapsed=66.8min
  V_NoHousing [ 81/100] mean=0.4573 std=0.0053  elapsed=67.2min
  V_NoHousing [ 82/100] mean=0.5345 std=0.0067  elapsed=67.7min
  V_NoHousing [ 83/100] mean=0.3465 std=0.0078  elapsed=68.1min
  V_NoHousing [ 84/100] mean=0.8443 std=0.0120  elapsed=68.6min
  V_NoHousing [ 85/100] mean=0.2960 std=0.0059  elapsed=69.0min
  V_NoHousing [ 86/100] mean=0.5597 std=0.0071  elapsed=69.5min
  V_NoHousing [ 87/100] mean=0.2998 std=0.0029  elapsed=69.9min
  V_NoHousing [ 88/100] mean=0.4909 std=0.0036  elapsed=70.4min
  V_NoHousing [ 89/100] mean=0.4042 std=0.0053  elapsed=70.8min
  V_NoHousing [ 90/100] mean=0.5772 std=0.0041  elapsed=71.3min
  V_NoHousing [ 91/100] mean=1.4690 std=0.0054  elapsed=71.8min
  V_NoHousing [ 92/100] mean=0.5512 std=0.0141  elapsed=72.2min
